input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	seltsam	821.0	adj	Gefuehl	[Gefühl erweckend]	0.7	0.36085	0.4	0.19127	0.44045	0.75702
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	finster	96494.0	adj	Allgemein	[negativ, schlecht]	0.7	0.36085	0.4	0.11579	0.2713	0.689
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	finster	96493.0	adj	Relation	[ungeheuer, unheimlich] , [ungewiss, ungewiß]	0.55	0.2437	0.0	0.0	0.0	0.51753
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	finster	3022.0	adj	Perzeption	[dunkel]	0.5	0.21239	0.0	0.0	0.0	0.54296
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	finster	96492.0	adj	Gefuehl	[trüb, trübe]	0.5	0.21239	0.0	0.0	0.0	0.57696
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	finster	96494.0	adj	Allgemein	[negativ, schlecht]	0.45	0.18381	0.0	0.0	0.0	0.55067
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	finster	96493.0	adj	Relation	[ungeheuer, unheimlich] , [ungewiss, ungewiß]	0.55	0.2437	0.30769	0.19127	0.37873	0.68624
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	finster	3022.0	adj	Perzeption	[dunkel]	0.4	0.15752	0.0	0.0	0.0	0.52041
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	finster	96492.0	adj	Gefuehl	[trüb, trübe]	0.6	0.2783	0.33333	0.19127	0.42924	0.74567
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	grauenvoll	814.0	adj	Gefuehl	[Grauen erregend, grauenerregend]	0.45	0.18381	0.0	0.0	0.0	0.51712
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	grauenvoll	814.0	adj	Gefuehl	[Grauen erregend, grauenerregend]	0.55	0.2437	0.30769	0.19127	0.37842	0.68583
hold					d�ster										
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	grausam	704.0	adj	Gefuehl	[peinigend]	0.55	0.2437	0.0	0.0	0.0	0.53143
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	grausam	4557.0	adj	Verhalten	[brutal, gewalttätig]	0.75	0.41148	0.44444	0.13271	0.2974	0.68648
