input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
Mord	20741.0	nomen	Geschehen	[Bluttat]	Wache	9430.0	nomen	Artefakt	[Amtsgebäude] , [Gendarmerie, Polizei, Polizeibehörde]	0.48571	0.17834	0.0	0.0	0.0	0.57233
Mord	20741.0	nomen	Geschehen	[Bluttat]	Sage	32960.0	nomen	Kommunikation	[Erzählung]	0.48571	0.17834	0.1	0.06249	0.13523	0.60037
Mord	20741.0	nomen	Geschehen	[Bluttat]	Blut	26339.0	nomen	Koerper	[Körperflüssigkeit]	0.57143	0.22629	0.0	0.0	0.0	0.59464
Mord	20741.0	nomen	Geschehen	[Bluttat]	Eid	30829.0	nomen	Kommunikation	[Aussage]	0.62857	0.26356	0.13333	0.06249	0.17709	0.7096
Mord	20741.0	nomen	Geschehen	[Bluttat]	Vertrauen	16012.0	nomen	Gefuehl	[Gewissheit, Gewißheit, Sicherheit, Überzeugung]	0.62857	0.26356	0.31579	0.07994	0.19665	0.67342
Mord					T�r										
Mord	20741.0	nomen	Geschehen	[Bluttat]	Wut	16107.0	nomen	Gefuehl	[Ärger]	0.6	0.2443	0.3	0.07994	0.18957	0.65823
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schauer	41270.0	nomen	natPhaenomen	[Regen, Regenfall]	0.62857	0.26356	0.31579	0.07994	0.18032	0.63661
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schauer	16128.0	nomen	Gefuehl	[Entsetzen, Entsetzung]	0.62857	0.26356	0.31579	0.07994	0.17379	0.61995
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schrei	29585.0	nomen	Kommunikation	[Äußerung] , [Ausdrucksmittel]	0.65714	0.28424	0.14286	0.06249	0.1573	0.66522
Mord	20741.0	nomen	Geschehen	[Bluttat]	Qual	16212.0	nomen	Gefuehl	[Schmerz] , [Kummer, Leid, Leidwesen, Sorge, Unglück]	0.65714	0.28424	0.33333	0.07994	0.18723	0.65297
Mord	20741.0	nomen	Geschehen	[Bluttat]	Qual	26576.0	nomen	Koerper	[Befindlichkeitsstörung, Beschwerden, Schmerz]	0.65714	0.28424	0.14286	0.06249	0.14079	0.61861
Mord	20741.0	nomen	Geschehen	[Bluttat]	Ahnung	28015.0	nomen	Kognition	[Halbwissen]	0.65714	0.28424	0.14286	0.06249	0.15532	0.66015
Mord	20741.0	nomen	Geschehen	[Bluttat]	Ahnung	16086.0	nomen	Gefuehl	[Emotion, Empfinden, Empfindung, Feeling, Gefühl, Gemütsbewegung]	0.68571	0.30657	0.35294	0.07994	0.20032	0.68085
Mord	20741.0	nomen	Geschehen	[Bluttat]	Mitleid	16096.0	nomen	Gefuehl	[Mitempfindung, Mitgefühl]	0.65714	0.28424	0.33333	0.07994	0.18265	0.64224
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schlag	75865.0	nomen	Geschehen	[Unheil]	0.71429	0.33085	0.44444	0.0978	0.23389	0.67964
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schlag	41325.0	nomen	natPhaenomen	[Blitz]	0.65714	0.28424	0.33333	0.07994	0.19148	0.66243
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schlag	17932.0	nomen	Geschehen	[Spielzug]	0.77143	0.38685	0.55556	0.11482	0.30431	0.7375
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schlag	69572.0	nomen	Geschehen	[Unfall, Unfallgeschehen]	0.74286	0.35745	0.47059	0.0978	0.23426	0.68031
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schlag	37948.0	nomen	Mensch	[psychisch Beschaffener]	0.45714	0.16402	0.0	0.0	0.0	0.65746
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schlag	20937.0	nomen	Geschehen	[Berührung]	0.8	0.41972	0.58824	0.11482	0.28483	0.7117
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schlag	20389.0	nomen	Geschehen	[Militäraktion]	0.8	0.41972	0.58824	0.11482	0.27483	0.69703
Mord	20741.0	nomen	Geschehen	[Bluttat]	Bund	24773.0	nomen	Gruppe	[Militär]	0.4	0.13743	0.0	0.0	0.0	0.60268
Mord	20741.0	nomen	Geschehen	[Bluttat]	Bund	33545.0	nomen	Menge	[nichtdefinite Raumeinheit]	0.6	0.2443	0.0	0.0	0.0	0.5963
Mord	20741.0	nomen	Geschehen	[Bluttat]	Bund	23378.0	nomen	Gruppe	[Zusammenschluss, Zusammenschluß]	0.51429	0.19343	0.0	0.0	0.0	0.63448
Mord	20741.0	nomen	Geschehen	[Bluttat]	Bund	73181.0	nomen	Artefakt	[Bekleidungsteil, Kleidungsteil]	0.6	0.2443	0.0	0.0	0.0	0.59634
Mord	20741.0	nomen	Geschehen	[Bluttat]	Zorn	16107.0	nomen	Gefuehl	[Ärger]	0.6	0.2443	0.3	0.07994	0.18957	0.65823
